text,condition,record_type
Abdominal ultrasound reveals thickened intestinal loops; consistent with IBD.,Digestive Issues,Clinical Notes
Assess hydration status and recommend fluid therapy if needed for systemic illness.,Skin Irritations,Clinical Notes
Use E-collar to prevent self-trauma.,Skin Irritations,Clinical Notes
Abdominocentesis yielded serosanguinous fluid; cytology shows septic inflammation. Emergency surgery indicated.,Digestive Issues,Clinical Notes
"Cat is scratching the area below her ear, not directly inside.",Ear Infections,Owner Observation
My dog has Babesia from a tick bite.,Parasites,Owner Observation
"Cat has decreased appetite, possibly due to chronic pain.",Mobility Problems,Owner Observation
Flea eggs on fur; prescribe oral spinosad.,Parasites,Clinical Notes
"Ferret has fleas, needs treatment safe for ferrets.",Parasites,Owner Observation
"My puppy is trying to vomit but only dry heaving, and his belly looks swollen.",Digestive Issues,Owner Observation
Document size and location of aural hematoma.,Ear Infections,Clinical Notes
Puppy has a rash in his groin area.,Skin Irritations,Owner Observation
My cat shakes her head violently right after I put the ear drops in.,Ear Infections,Owner Observation
Papular rash on legs; antihistamines recommended.,Skin Irritations,Clinical Notes
Psoroptes cuniculi (ear mites) in rabbit causing severe crusting and inflammation.,Ear Infections,Clinical Notes
Cat has swollen joints.,Mobility Problems,Owner Observation
I saw spaghetti-like worms in my puppy's vomit.,Parasites,Owner Observation
Tibial compression test positive.,Mobility Problems,Clinical Notes
Complete rupture of gastrocnemius tendon diagnosed based on dropped hock stance.,Mobility Problems,Clinical Notes
"My dog is restless and pacing, seems uncomfortable after eating.",Digestive Issues,Owner Observation
Flea allergy dermatitis; start antihistamines.,Parasites,Clinical Notes
My ferret's ear discharge smells sweet/yeasty.,Ear Infections,Owner Observation
My hamster is losing fur around its eyes.,Skin Irritations,Owner Observation
My cat is drinking tons of water and vomited twice yesterday.,Digestive Issues,Owner Observation
Cat seems completely deaf in the affected ear.,Ear Infections,Owner Observation
"Rabbit has stopped grooming, coat looks messy.",Digestive Issues,Owner Observation
Pain on palpation of temporomandibular joint (TMJ); may be related to ear pain.,Ear Infections,Clinical Notes
My dog chewed up a plastic toy and is now lethargic and gagging.,Digestive Issues,Owner Observation
"Cat moves with a stiff, hunched posture.",Mobility Problems,Owner Observation
My parrot was diagnosed with Giardia.,Parasites,Owner Observation
Ear infection with crusting; prescribe topical steroids.,Ear Infections,Clinical Notes
My dog's skin turns bright red after he eats certain treats.,Skin Irritations,Owner Observation
Noticed small bumps and scabs on my puppy's back.,Skin Irritations,Owner Observation
Cat is licking a specific joint excessively.,Mobility Problems,Owner Observation
Deep pyoderma with draining tracts; culture and sensitivity indicated.,Skin Irritations,Clinical Notes
"My rabbit's skin seems very dry and flaky, especially on its ears.",Skin Irritations,Owner Observation
"Kitten has pale gums and is very sleepy, worried about fleas.",Parasites,Owner Observation
"My dog is a Cocker Spaniel, and I know they are prone to ear problems.",Ear Infections,Owner Observation
"Neurological exam components: mental status, cranial nerves, postural reactions, spinal reflexes, palpation, nociception.",Mobility Problems,Clinical Notes
"Cat has symmetrical hair loss on her flanks, no apparent itching.",Skin Irritations,Owner Observation
Carpal hyperextension injury.,Mobility Problems,Clinical Notes
Feline acne present on chin; comedones and secondary infection noted.,Skin Irritations,Clinical Notes
"Guinea pig has soft, smelly droppings.",Digestive Issues,Owner Observation
My senior cat hasn't pooped in four days and seems uncomfortable.,Digestive Issues,Owner Observation
My puppy has diarrhea and the vet found Coccidia in his stool sample.,Parasites,Owner Observation
My dog has a circular lesion that is healing in the center but spreading outward.,Skin Irritations,Owner Observation
Document appearance of ear canal and tympanic membrane.,Ear Infections,Clinical Notes
"Panosteitis suspected; radiographs may show patchy intramedullary densities. Typically self-limiting, manage pain.",Mobility Problems,Clinical Notes
Cat seems overly sensitive to loud noises lately.,Ear Infections,Owner Observation
Lateral ear resection considered as palliative procedure for canal stenosis.,Ear Infections,Clinical Notes
Prescribe ponazuril (Marquis) paste for coccidiosis.,Parasites,Clinical Notes
My cat has sores in the corners of her mouth.,Skin Irritations,Owner Observation
Ferret is tilting its head slightly to the left.,Ear Infections,Owner Observation
My dog has ear mites confirmed by the vet.,Parasites,Owner Observation
Document location and estimated size/volume of aural hematoma.,Ear Infections,Clinical Notes
My dog requires treatment for heartworm infection.,Parasites,Owner Observation
Cutaneous lymphoma suspected based on multiple nodules/plaques; refer to oncologist.,Skin Irritations,Clinical Notes
"Hypoadrenocorticism (Addison's condition) suspected due to waxing/waning GI signs, electrolyte abnormalities (low Na, high K).",Digestive Issues,Clinical Notes
My puppy drags his rear end on the carpet after pooping.,Parasites,Owner Observation
"Cat isn't grooming her hindquarters well, fur looks matted.",Mobility Problems,Owner Observation
Puppy has on-and-off diarrhea since we brought him home.,Digestive Issues,Owner Observation
Cat has hair loss and redness between the toes.,Skin Irritations,Owner Observation
"Cat is scratching under her chin, causing sores and hair loss.",Skin Irritations,Owner Observation
"Guinea pig has intense itching fits, sometimes seems like a seizure.",Skin Irritations,Owner Observation
My cat is drinking excessive amounts of water and vomiting frequently.,Digestive Issues,Owner Observation
Radiographs confirm moderate to severe hip dysplasia with secondary OA changes.,Mobility Problems,Clinical Notes
"Dog has dry, brittle hair coat and flaky skin.",Skin Irritations,Owner Observation
"Symptomatic treatment for pruritus (e.g., Apoquel, Cytopoint, steroids) may be needed initially.",Parasites,Clinical Notes
Provide handout on intestinal parasites.,Parasites,Clinical Notes
Yeast otitis with debris; prescribe antifungal drops.,Ear Infections,Clinical Notes
Cobalamin supplementation initiated (injectable or oral) due to documented deficiency.,Digestive Issues,Clinical Notes
Babesia gibsoni identified on blood smear; requires specific treatment protocol.,Parasites,Clinical Notes
My puppy scoots his bottom on the floor frequently.,Parasites,Owner Observation
Advise slow transition when changing pet foods.,Digestive Issues,Clinical Notes
Progressive hind limb ataxia and paresis with intact spinal reflexes in older GSD; consistent with Degenerative Myelopathy. SOD1 testing discussed.,Mobility Problems,Clinical Notes
Urticarial reaction observed; administer diphenhydramine and monitor.,Skin Irritations,Clinical Notes
"My rabbit is leaving large, soft, uneaten cecotropes around.",Digestive Issues,Owner Observation
"Metabolic epidermal necrosis (superficial necrolytic dermatitis) suspected; check liver enzymes, glucose.",Skin Irritations,Clinical Notes
"Differential diagnoses for vomiting include dietary indiscretion, FB, pancreatitis, renal condition, toxins, IBD, neoplasia.",Digestive Issues,Clinical Notes
Use ear wick or packing with medication for severe stenosis.,Ear Infections,Clinical Notes
My puppy ate some mushrooms in the yard and is now vomiting.,Digestive Issues,Owner Observation
Ruptured tympanic membrane suspected; avoid ototoxic medications.,Ear Infections,Clinical Notes
My cat scratches herself raw around the collar area.,Skin Irritations,Owner Observation
Absent withdrawal reflex and deep pain perception in pelvic limbs; grave prognosis for return to function.,Mobility Problems,Clinical Notes
My dog has developed a head tilt.,Mobility Problems,Owner Observation
Rule out hypothyroidism as contributing factor to chronic skin and ear condition.,Ear Infections,Clinical Notes
Erythematous patches on muzzle; rule out autoimmune issue.,Skin Irritations,Clinical Notes
Puppy fecal exam positive for both roundworms and hookworms.,Parasites,Owner Observation
Large bowel diarrhea suspected based on mucus and hematochezia.,Digestive Issues,Clinical Notes
My cat has flaky skin that seems to move when you watch it closely.,Parasites,Owner Observation
My small dog has Legg-Calve-Perthes causing hip pain.,Mobility Problems,Owner Observation
"Biopsy of pinnal lesion submitted; rule out immune-mediated condition (pemphigus, lupus).",Ear Infections,Clinical Notes
"Anemia (low PCV) noted, likely secondary to heavy hookworm or flea burden.",Parasites,Clinical Notes
Measure and record size of any skin masses.,Skin Irritations,Clinical Notes
My rabbit stopped eating his pellets and cecotropes are sticking to his fur.,Digestive Issues,Owner Observation
"Provide detailed estimate for recommended diagnostics (cytology, culture, imaging) and treatments.",Ear Infections,Clinical Notes
Trichogram shows broken hair shafts consistent with self-trauma (pruritus).,Skin Irritations,Clinical Notes
Rabbit has lost bladder/bowel control.,Mobility Problems,Owner Observation
Guinea pig has hair loss on its nose.,Skin Irritations,Owner Observation
"Cat keeps gagging like she has a hairball, but nothing comes out.",Digestive Issues,Owner Observation
"Carefully inspect ear canal for presence of ticks, especially in endemic areas.",Ear Infections,Clinical Notes
My dog had ear canal ablation surgery due to end-stage condition.,Ear Infections,Owner Observation
"Dog has hair loss on the tail, looks like a 'rat tail'.",Skin Irritations,Owner Observation
Foreign body (grass awn) identified and removed from horizontal canal.,Ear Infections,Clinical Notes
My cat has chronic diarrhea that responds temporarily to antibiotics.,Digestive Issues,Owner Observation
Excoriations around ears and neck; check for ear mites and fleas.,Skin Irritations,Clinical Notes
Administer NSAID (meloxicam) for analgesia and inflammation.,Ear Infections,Clinical Notes
Anal sacculitis/abscess causing pain on defecation.,Digestive Issues,Clinical Notes
Fecal examination positive for Cystoisospora (Coccidia) oocysts.,Parasites,Clinical Notes
"Consider video otoscopy for deep cleaning, biopsy, or polyp removal.",Ear Infections,Clinical Notes
Kitten's fecal test showed hookworm eggs.,Parasites,Owner Observation
"My cat has chronic diarrhea, improves with antibiotics but returns.",Digestive Issues,Owner Observation
Cobalamin (B12) levels low; initiate supplementation.,Digestive Issues,Clinical Notes
My puppy has what looks like acne on his belly.,Skin Irritations,Owner Observation
My dog has Wobbler syndrome.,Mobility Problems,Owner Observation
Carpal hyperextension noted; radiographs show ligamentous instability/damage. Arthrodesis may be required.,Mobility Problems,Clinical Notes
